Title,Description,BiocVersion,DownloadDate ,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,Location_Prefix,RDataPath,Tags
caro_2022.02.18,common anatomy reference,3.16,8/22/2022,,TXT,https://raw.githubusercontent.com/obophenotype/caro/master/caro-full.obo,caro/releases/2022-02-18/caro-full.owl,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/caro_2022.02.18.rda,ontology:ontologies:anatomy
cellLineOnto_2.1.178,cell lines,3.16,8/19/2022,,TXT,https://raw.githubusercontent.com/CLO-ontology/CLO/master/src/ontology/clo.owl,2.1.178,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/cellLineOnto_2.1.178.rda,ontology:ontologies:cell lines
cellOnto_2023.02.15,cells,3.16,2/15/2023,,TXT,https://raw.githubusercontent.com/obophenotype/cell-ontology/master/cl.obo,2023.02.15,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/cellOnto_2023.02.15.rda,ontology:ontologies:cell ontology
cellosaurusOnto_44,cell lines,3.16,2/16/2023,,TXT,https://ftp.expasy.org/databases/cellosaurus/cellosaurus.obo,44,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/cellosaurusOnto_44.rda,ontology:ontologies:cell lines
chebi_full_218,large chemicals ontology,3.16,2/16/2023,,TXT,http://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi.obo,218,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/chebi_full_218.rda,ontology:ontologies:chemicals
chebi_lite_218,short chemical ontology,3.16,2/16/2023,,TXT,http://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi_lite.obo,218,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/chebi_lite_218.rda,ontology:ontologies:chemicals
diseaseOnto_2023.01.30,diseases,3.16,2/16/2023,,TXT,https://raw.githubusercontent.com/DiseaseOntology/HumanDiseaseOntology/master/src/ontology/HumanDO.obo,doid/releases/2023-01-30/doid-non-classified.obo,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/diseaseOnto_2023.01.30.rda,ontology:ontologies:human disease
efoOnto_3.51.0,experimental factor,3.16,2/16/2023,,TXT,https://www.ebi.ac.uk/efo/efo.obo,3.51.0,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/efoOnto_3.51.0.rda,ontology:ontologies:experimental factors
goOnto_2023.01.01,Gene ontology,3.16,2/16/2023,,TXT,http://purl.obolibrary.org/obo/go.obo,releases/2023-01-01,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/goOnto_2023.01.01.rda,ontology:ontologies:genes:gene ontology
hcaoOnto_2022.12.16,human cell atlas,3.16,2/16/2023,,TXT,https://www.ebi.ac.uk/ols/ontologies/hcao,releases/2023-12-16/hcao.owl,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/hcaoOnto_2022.12.16.rda,ontology:ontologies:human cell atlas
mondo_2022.12.01,disease,3.16,2/16/2023,,TXT,http://purl.obolibrary.org/obo/mondo/releases/2022-12-01/mondo.owl,releases/2022-12-01,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/mondo_2022.12.01.rda,ontology:ontologies:disease
patoOnto_2023.02.17,phenotype and trait,3.16,2/16/2023,,TXT,https://raw.githubusercontent.com/pato-ontology/pato/master/pato.obo,2023.02.17,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/patoOnto_2023.02.17.rda,ontology:ontologies:phenotype and trait
PROnto_68,protein,3.16,2/16/2023,,TXT,https://proconsortium.org/download/current/pro_reasoned.obo,68,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/PROnto_68.rda,ontology:ontologies:protein
uberon_2023.02.14,anatomy,3.16,2/16/2023,,TXT,https://raw.githubusercontent.com/obophenotype/uberon/master/uberon.obo, releases/2023-02-14,,,TRUE,,Sara Stankiewicz <Sara.Stankiewicz@channing.harvard.edu>,Rda,Rda,,ontoProcData/uberon_2023.02.14.rda,ontology:ontologies:anatomy
